dsc_cycle,axi_cycle,phase,slice_buffer_valid,slice_buffer_last,flatness_valid,flatness_last,predict_valid,predict_last
2349,782,pixel_transfer,2,0,2,0,2,0
2352,783,pixel_transfer,1,0,1,0,1,0
2353,784,pixel_transfer,2,0,2,0,2,0
2356,785,pixel_transfer,1,0,1,0,1,0
2357,785,pixel_transfer,2,0,2,0,2,0
2360,786,pixel_transfer,1,0,1,0,1,0
2361,786,pixel_transfer,2,0,2,0,2,0
2364,787,pixel_transfer,1,0,1,0,1,0
2365,788,pixel_transfer,2,0,2,0,2,0
2368,789,pixel_transfer,1,0,1,0,1,0
2369,789,pixel_transfer,2,2,2,0,2,0
2372,790,pixel_transfer,1,0,1,0,1,0
2373,790,pixel_transfer,0,0,2,0,2,0
2376,791,pixel_transfer,1,0,1,0,1,0
2377,792,pixel_transfer,0,0,2,0,2,0
2380,793,pixel_transfer,1,0,1,0,1,0
2381,793,pixel_transfer,0,0,2,0,2,0
2384,794,pixel_transfer,1,0,1,0,1,0
2385,794,pixel_transfer,0,0,2,0,2,0
2388,795,pixel_transfer,1,0,1,0,1,0
2389,796,pixel_transfer,0,0,2,0,2,0
2392,797,pixel_transfer,3,0,1,0,1,0
2393,797,pixel_transfer,0,0,2,0,2,0
2396,798,pixel_transfer,3,0,1,0,1,0
2397,798,pixel_transfer,0,0,2,2,2,0
2400,799,pixel_transfer,3,0,1,0,1,0
2401,800,pixel_transfer,0,0,0,0,2,2
2404,801,line_marker,3,0,1,0,1,0
2408,802,pixel_transfer,3,0,1,0,1,0
2412,803,pixel_transfer,3,0,1,0,1,0
2416,805,pixel_transfer,3,0,1,0,1,0
2420,806,pixel_transfer,3,0,3,0,1,0
2424,807,pixel_transfer,3,0,3,0,3,0
2428,809,pixel_transfer,3,0,3,0,3,0
2432,810,pixel_transfer,3,0,3,0,3,0
2436,811,pixel_transfer,3,0,3,0,3,0
2440,813,pixel_transfer,3,0,3,0,3,0
2444,814,pixel_transfer,3,1,3,0,3,0
2448,815,pixel_transfer,2,0,3,0,3,0
2452,817,pixel_transfer,2,0,3,0,3,0
2456,818,pixel_transfer,2,0,3,0,3,0
2460,819,pixel_transfer,2,0,3,0,3,0
2464,821,pixel_transfer,2,0,3,0,3,0
2467,822,pixel_transfer,1,0,0,0,0,0
2468,822,pixel_transfer,2,0,3,0,3,0
2471,823,pixel_transfer,1,0,0,0,0,0
2472,823,pixel_transfer,2,0,3,1,3,0
2475,824,pixel_transfer,1,0,0,0,0,0
2476,825,pixel_transfer,2,0,2,0,3,1
2479,826,pixel_transfer,1,0,0,0,0,0
2480,826,pixel_transfer,2,0,2,0,2,0
2483,827,pixel_transfer,1,0,0,0,0,0
2484,827,pixel_transfer,2,0,2,0,2,0
2487,828,pixel_transfer,1,0,0,0,0,0
2488,829,pixel_transfer,2,0,2,0,2,0
2491,830,pixel_transfer,1,0,0,0,0,0
2492,830,pixel_transfer,2,0,2,0,2,0
2495,831,pixel_transfer,1,0,1,0,0,0
2496,831,pixel_transfer,2,0,2,0,2,0
2499,832,pixel_transfer,1,0,1,0,1,0
2500,833,pixel_transfer,2,0,2,0,2,0
2503,834,pixel_transfer,1,0,1,0,1,0
2504,834,pixel_transfer,2,0,2,0,2,0
2507,835,pixel_transfer,1,0,1,0,1,0
2508,835,pixel_transfer,2,0,2,0,2,0
2511,836,pixel_transfer,1,0,1,0,1,0
2512,837,pixel_transfer,2,0,2,0,2,0
2515,838,pixel_transfer,1,0,1,0,1,0
2516,838,pixel_transfer,2,2,2,0,2,0
2519,839,pixel_transfer,1,0,1,0,1,0
2520,839,pixel_transfer,0,0,2,0,2,0
2523,840,pixel_transfer,1,0,1,0,1,0
2524,841,pixel_transfer,0,0,2,0,2,0
2527,842,pixel_transfer,1,0,1,0,1,0
2528,842,pixel_transfer,0,0,2,0,2,0
2531,843,pixel_transfer,1,0,1,0,1,0
2532,843,pixel_transfer,0,0,2,0,2,0
2535,844,pixel_transfer,1,0,1,0,1,0
2536,845,pixel_transfer,0,0,2,0,2,0
2539,846,pixel_transfer,3,0,1,0,1,0
2540,846,pixel_transfer,0,0,2,0,2,0
2543,847,pixel_transfer,3,0,1,0,1,0
2544,847,pixel_transfer,0,0,2,2,2,0
2547,848,pixel_transfer,3,0,1,0,1,0
2548,849,pixel_transfer,0,0,0,0,2,2
2551,850,line_marker,3,0,1,0,1,0
2555,851,pixel_transfer,3,0,1,0,1,0
2559,852,pixel_transfer,3,0,1,0,1,0
2563,854,pixel_transfer,3,0,1,0,1,0
2567,855,pixel_transfer,3,0,3,0,1,0
2571,856,pixel_transfer,3,0,3,0,3,0
2575,858,pixel_transfer,3,0,3,0,3,0
2579,859,pixel_transfer,3,0,3,0,3,0
2583,860,pixel_transfer,3,0,3,0,3,0
2587,862,pixel_transfer,3,0,3,0,3,0
2591,863,pixel_transfer,3,1,3,0,3,0
2595,864,pixel_transfer,2,0,3,0,3,0
2599,866,pixel_transfer,2,0,3,0,3,0
2603,867,pixel_transfer,2,0,3,0,3,0
2607,868,pixel_transfer,2,0,3,0,3,0
